match,start_time,market_name,home_team,home_line,home_win,away_team,away_line,away_win,margin,agency
Western Bulldogs v North Melbourne Kangaroos,2023-08-18T13:10:00Z,Line,Western Bulldogs,-45.5,1.91,North Melbourne Kangaroos,45.5,1.91,1.047,Bet365
Hawthorn Hawks v Richmond Tigers,2023-08-18T15:20:00Z,Line,Hawthorn Hawks,-46.5,1.91,Richmond Tigers,46.5,1.91,1.047,Bet365
West Coast Eagles v Carlton,2023-08-18T16:40:00Z,Line,West Coast Eagles,-3.5,1.91,Carlton,3.5,1.91,1.047,Bet365
Melbourne Demons v Collingwood Magpies,2023-08-23T19:40:00Z,Line,Melbourne Demons,8.5,1.91,Collingwood Magpies,-8.5,1.91,1.047,Bet365
Geelong Cats v West Coast Eagles,2023-08-24T13:45:00Z,Line,Geelong Cats,-38.5,1.91,West Coast Eagles,38.5,1.91,1.047,Bet365
Richmond Tigers v Gold Coast Suns,2023-08-24T14:10:00Z,Line,Richmond Tigers,14.5,1.91,Gold Coast Suns,-14.5,1.91,1.047,Bet365
Hawthorn Hawks v North Melbourne Kangaroos,2023-08-24T16:35:00Z,Line,Hawthorn Hawks,-38.5,1.91,North Melbourne Kangaroos,38.5,1.91,1.047,Bet365
Brisbane Lions v Essendon Bombers,2023-08-24T19:25:00Z,Line,Brisbane Lions,-32.5,1.91,Essendon Bombers,32.5,1.91,1.047,Bet365
Sydney Swans v Adelaide Crows,2023-08-24T19:40:00Z,Line,Sydney Swans,-19.5,1.91,Adelaide Crows,19.5,1.91,1.047,Bet365
Western Bulldogs v GWS Giants,2023-08-25T12:30:00Z,Line,Western Bulldogs,-11.5,1.91,GWS Giants,11.5,1.91,1.047,Bet365
Carlton v St Kilda Saints,2023-08-25T15:20:00Z,Line,Carlton,1.5,1.91,St Kilda Saints,-1.5,1.91,1.047,Bet365
Fremantle Dockers v Port Adelaide Power,2023-08-25T18:10:00Z,Line,Fremantle Dockers,-4.5,1.91,Port Adelaide Power,4.5,1.91,1.047,Bet365
