match,home_team,away_team,date,line,player_name,player_team,opposition_team,over_price,under_price,agency,market_name
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,0.5,Ben Keays,Adelaide Crows,Geelong Cats,1.5,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,1.5,Ben Keays,Adelaide Crows,Geelong Cats,2.85,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,2.5,Ben Keays,Adelaide Crows,Geelong Cats,7.5,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,3.5,Ben Keays,Adelaide Crows,Geelong Cats,23,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,0.5,Bradley Close,NA,NA,1.65,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,1.5,Bradley Close,NA,NA,4.5,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,2.5,Bradley Close,NA,NA,12,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,3.5,Bradley Close,NA,NA,51,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,0.5,Brodie Smith,Adelaide Crows,Geelong Cats,3.75,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,0.5,Chayce Jones,Adelaide Crows,Geelong Cats,3.25,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,0.5,Chris Burgess,Adelaide Crows,Geelong Cats,1.5,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,1.5,Chris Burgess,Adelaide Crows,Geelong Cats,2.75,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,2.5,Chris Burgess,Adelaide Crows,Geelong Cats,7.5,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,0.5,Darcy Fogarty,Adelaide Crows,Geelong Cats,1.22,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,1.5,Darcy Fogarty,Adelaide Crows,Geelong Cats,1.89,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,2.5,Darcy Fogarty,Adelaide Crows,Geelong Cats,4,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,3.5,Darcy Fogarty,Adelaide Crows,Geelong Cats,9.5,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,4.5,Darcy Fogarty,Adelaide Crows,Geelong Cats,26,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,5.5,Darcy Fogarty,Adelaide Crows,Geelong Cats,81,NA,Unibet,Player Goals
Adelaide Crows v Geelong Cats,Adelaide Crows,Geelong Cats,2024-03-22,0.5,Gryan Miers,Geelong Cats,Adelaide Crows,2.25,NA,Unibet,Player Goals
