match,start_time,market_name,home_team,away_team,line,over_price,under_price,margin,agency
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,138.5,1.1,6.2,1.07,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,144.5,1.18,4.5,1.07,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,150.5,1.28,3.4,1.075,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,156.5,1.45,2.65,1.067,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,162.5,1.65,2.15,1.071,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,167.5,1.9,1.9,1.053,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,168.5,1.95,1.8,1.068,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,174.5,2.35,1.55,1.071,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,180.5,2.9,1.38,1.069,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,186.5,3.8,1.24,1.07,TAB
GWS Giants v Brisbane Lions,2024-09-14T09:30:00.000Z,Total Points,GWS Giants,Brisbane Lions,192.5,5.2,1.14,1.07,TAB
